Datetime,AEP_MW,solar_power
2025-05-02 00:00:00,1423.75,0.0
2025-05-02 01:00:00,1468.51,0.0
2025-05-02 02:00:00,1473.91,0.0
2025-05-02 03:00:00,1561.84,0.0
2025-05-02 04:00:00,1534.09,0.0
2025-05-02 05:00:00,1562.95,0.0
2025-05-02 06:00:00,1587.51,126.35
2025-05-02 07:00:00,1555.16,248.19
2025-05-02 08:00:00,1541.77,385.03
2025-05-02 09:00:00,1518.85,632.16
2025-05-02 10:00:00,1508.43,739.54
2025-05-02 11:00:00,1497.3,934.67
2025-05-02 12:00:00,1423.99,1003.9
2025-05-02 13:00:00,1367.51,895.83
2025-05-02 14:00:00,1356.48,788.94
2025-05-02 15:00:00,1309.29,598.92
2025-05-02 16:00:00,1295.61,423.5
2025-05-02 17:00:00,1300.59,271.82
2025-05-02 18:00:00,1269.11,125.9
2025-05-02 19:00:00,1288.32,0.0
2025-05-02 20:00:00,1292.8,0.0
2025-05-02 21:00:00,1330.11,0.0
2025-05-02 22:00:00,1369.62,0.0
2025-05-02 23:00:00,1388.76,0.0
2025-05-03 00:00:00,1438.17,0.0
2025-05-03 01:00:00,1478.45,0.0
2025-05-03 02:00:00,1507.53,0.0
2025-05-03 03:00:00,1528.27,0.0
2025-05-03 04:00:00,1545.62,0.0
2025-05-03 05:00:00,1575.9,0.0
2025-05-03 06:00:00,1575.05,106.29
2025-05-03 07:00:00,1602.99,274.2
2025-05-03 08:00:00,1513.65,431.36
2025-05-03 09:00:00,1524.1,591.23
2025-05-03 10:00:00,1493.72,799.75
2025-05-03 11:00:00,1470.25,944.14
2025-05-03 12:00:00,1417.67,1001.33
2025-05-03 13:00:00,1359.17,940.58
2025-05-03 14:00:00,1337.59,820.86
2025-05-03 15:00:00,1317.96,565.71
2025-05-03 16:00:00,1285.78,427.82
2025-05-03 17:00:00,1292.48,254.47
2025-05-03 18:00:00,1253.77,129.64
2025-05-03 19:00:00,1319.03,0.0
2025-05-03 20:00:00,1335.93,0.0
2025-05-03 21:00:00,1337.87,0.0
2025-05-03 22:00:00,1387.17,0.0
2025-05-03 23:00:00,1417.46,0.0
2025-05-04 00:00:00,1443.97,0.0
2025-05-04 01:00:00,1495.54,0.0
2025-05-04 02:00:00,1542.55,0.0
2025-05-04 03:00:00,1548.31,0.0
2025-05-04 04:00:00,1566.18,0.0
2025-05-04 05:00:00,1578.55,0.0
2025-05-04 06:00:00,1583.54,157.45
2025-05-04 07:00:00,1583.28,199.99
2025-05-04 08:00:00,1532.25,430.23
2025-05-04 09:00:00,1519.23,608.19
2025-05-04 10:00:00,1478.96,770.07
2025-05-04 11:00:00,1408.76,945.16
2025-05-04 12:00:00,1390.79,983.92
2025-05-04 13:00:00,1357.85,988.21
2025-05-04 14:00:00,1326.92,829.44
2025-05-04 15:00:00,1307.25,609.28
2025-05-04 16:00:00,1255.56,392.62
2025-05-04 17:00:00,1280.73,235.19
2025-05-04 18:00:00,1274.25,127.48
2025-05-04 19:00:00,1277.41,0.0
2025-05-04 20:00:00,1330.63,0.0
2025-05-04 21:00:00,1365.07,0.0
2025-05-04 22:00:00,1380.84,0.0
2025-05-04 23:00:00,1442.64,0.0
