Datetime,AEP_MW,solar_power
2025-04-26 00:00:00,1397.32,0.0
2025-04-26 01:00:00,1441.28,0.0
2025-04-26 02:00:00,1466.76,0.0
2025-04-26 03:00:00,1512.92,0.0
2025-04-26 04:00:00,1539.62,0.0
2025-04-26 05:00:00,1515.13,0.0
2025-04-26 06:00:00,1543.07,140.81
2025-04-26 07:00:00,1535.78,280.55
2025-04-26 08:00:00,1514.45,391.86
2025-04-26 09:00:00,1520.43,632.05
2025-04-26 10:00:00,1468.14,831.78
2025-04-26 11:00:00,1429.18,954.59
2025-04-26 12:00:00,1420.28,1002.61
2025-04-26 13:00:00,1388.57,963.19
2025-04-26 14:00:00,1315.41,834.51
2025-04-26 15:00:00,1273.75,599.11
2025-04-26 16:00:00,1250.21,396.98
2025-04-26 17:00:00,1234.35,288.23
2025-04-26 18:00:00,1255.7,116.84
2025-04-26 19:00:00,1262.49,0.0
2025-04-26 20:00:00,1283.51,0.0
2025-04-26 21:00:00,1282.63,0.0
2025-04-26 22:00:00,1343.82,0.0
2025-04-26 23:00:00,1358.41,0.0
2025-04-27 00:00:00,1407.4,0.0
2025-04-27 01:00:00,1450.98,0.0
2025-04-27 02:00:00,1470.4,0.0
2025-04-27 03:00:00,1532.29,0.0
2025-04-27 04:00:00,1535.17,0.0
2025-04-27 05:00:00,1544.59,0.0
2025-04-27 06:00:00,1573.2,141.46
2025-04-27 07:00:00,1536.96,256.55
2025-04-27 08:00:00,1502.75,439.57
2025-04-27 09:00:00,1483.52,606.49
2025-04-27 10:00:00,1458.6,786.37
2025-04-27 11:00:00,1452.33,972.58
2025-04-27 12:00:00,1363.71,1022.73
2025-04-27 13:00:00,1339.24,928.01
2025-04-27 14:00:00,1354.51,788.87
2025-04-27 15:00:00,1282.17,617.85
2025-04-27 16:00:00,1253.45,407.14
2025-04-27 17:00:00,1248.71,239.25
2025-04-27 18:00:00,1243.27,129.31
2025-04-27 19:00:00,1271.97,0.0
2025-04-27 20:00:00,1288.55,0.0
2025-04-27 21:00:00,1325.99,0.0
2025-04-27 22:00:00,1356.48,0.0
2025-04-27 23:00:00,1392.38,0.0
2025-04-28 00:00:00,1419.32,0.0
2025-04-28 01:00:00,1483.43,0.0
2025-04-28 02:00:00,1478.95,0.0
2025-04-28 03:00:00,1492.84,0.0
2025-04-28 04:00:00,1537.69,0.0
2025-04-28 05:00:00,1523.01,0.0
2025-04-28 06:00:00,1537.7,119.41
2025-04-28 07:00:00,1555.35,247.29
2025-04-28 08:00:00,1478.31,399.34
2025-04-28 09:00:00,1494.43,642.26
2025-04-28 10:00:00,1454.44,798.63
2025-04-28 11:00:00,1405.02,971.71
2025-04-28 12:00:00,1369.3,1003.99
2025-04-28 13:00:00,1326.3,936.03
2025-04-28 14:00:00,1275.88,796.67
2025-04-28 15:00:00,1251.43,600.14
2025-04-28 16:00:00,1248.64,416.91
2025-04-28 17:00:00,1217.19,261.82
2025-04-28 18:00:00,1265.77,176.95
2025-04-28 19:00:00,1273.61,0.0
2025-04-28 20:00:00,1308.43,0.0
2025-04-28 21:00:00,1333.18,0.0
2025-04-28 22:00:00,1368.85,0.0
2025-04-28 23:00:00,1373.45,0.0
